date,Open,High,Low,Close,Volume
2025-09-22 09:40:00,6.21,6.24,6.01,6.01,13644.0
2025-09-22 09:41:00,6.0335,6.0335,5.98,5.995,4051.0
2025-09-22 09:42:00,6.02,6.08,6.0199,6.0648,2180.0
2025-09-22 09:43:00,6.07,6.08,6.06,6.08,623.0
2025-09-22 09:45:00,6.05,6.264,6.05,6.21,1512.0
2025-09-22 09:46:00,6.21,6.28,6.21,6.21,1031.0
2025-09-22 09:49:00,6.145,6.27,6.145,6.26,1499.0
2025-09-22 09:50:00,6.26,6.26,6.2,6.2,370.0
2025-09-22 09:52:00,6.2,6.2,6.2,6.2,258.0
2025-09-22 09:53:00,6.2,6.37,6.16,6.27,3475.0
2025-09-22 09:54:00,6.375,6.375,6.375,6.375,230.0
2025-09-22 09:55:00,6.27,6.27,6.27,6.27,373.0
2025-09-22 09:56:00,6.36,6.36,6.36,6.36,1158.0
2025-09-22 09:58:00,6.35,6.35,6.35,6.35,334.0
2025-09-22 10:01:00,6.348,6.348,6.33,6.33,300.0
2025-09-22 10:04:00,6.25,6.33,6.24,6.24,2560.0
2025-09-22 10:08:00,6.3,6.3,6.3,6.3,328.0
2025-09-22 10:09:00,6.3,6.3,6.3,6.3,1090.0
2025-09-22 10:17:00,6.2523,6.2523,6.2523,6.2523,266.0
2025-09-22 10:18:00,6.3,6.3,6.3,6.3,1800.0
2025-09-22 10:19:00,6.275,6.35,6.275,6.35,2756.0
2025-09-22 10:20:00,6.3484,6.3484,6.3484,6.3484,3858.0
2025-09-22 10:22:00,6.3819,6.3819,6.3819,6.3819,110.0
2025-09-22 10:23:00,6.39,6.4,6.39,6.4,930.0
2025-09-22 10:24:00,6.3968,6.3968,6.3968,6.3968,533.0
2025-09-22 10:25:00,6.315,6.315,6.315,6.315,170.0
2025-09-22 10:27:00,6.405,6.405,6.405,6.405,501.0
2025-09-22 10:29:00,6.38,6.38,6.38,6.38,150.0
2025-09-22 10:32:00,6.38,6.41,6.38,6.41,200.0
2025-09-22 10:36:00,6.38,6.38,6.38,6.38,185.0
2025-09-22 10:37:00,6.355,6.355,6.355,6.355,133.0
2025-09-22 10:39:00,6.375,6.375,6.29,6.29,6431.0
2025-09-22 10:40:00,6.3,6.4,6.3,6.363,2384.0
2025-09-22 10:45:00,6.4,6.45,6.4,6.41,6162.0
2025-09-22 10:46:00,6.43,6.43,6.43,6.43,511.0
2025-09-22 10:47:00,6.45,6.46,6.45,6.46,1471.0
2025-09-22 10:48:00,6.46,6.5,6.453,6.5,2793.0
2025-09-22 10:49:00,6.5,6.5,6.4853,6.4853,397.0
2025-09-22 10:50:00,6.5,6.54,6.49,6.535,4101.0
2025-09-22 10:51:00,6.4333,6.4333,6.4333,6.4333,415.0
2025-09-22 10:54:00,6.53,6.53,6.53,6.53,108.0
2025-09-22 10:56:00,6.54,6.63,6.53,6.63,56007.0
2025-09-22 10:57:00,6.58,6.58,6.58,6.58,220.0
2025-09-22 10:59:00,6.64,6.67,6.64,6.66,3522.0
2025-09-22 11:00:00,6.66,6.76,6.64,6.75,26843.0
2025-09-22 11:01:00,6.6744,6.6744,6.6651,6.674,1803.0
2025-09-22 11:03:00,6.68,6.68,6.58,6.59,515.0
2025-09-22 11:05:00,6.66,6.66,6.66,6.66,1055.0
2025-09-22 11:06:00,6.67,6.67,6.67,6.67,1180.0
2025-09-22 11:07:00,6.6744,6.6744,6.64,6.64,1469.0
2025-09-22 11:08:00,6.64,6.705,6.64,6.705,578.0
2025-09-22 11:09:00,6.71,6.73,6.71,6.72,1290.0
2025-09-22 11:10:00,6.63,6.63,6.63,6.63,105.0
2025-09-22 11:12:00,6.7,6.7,6.7,6.7,665.0
2025-09-22 11:13:00,6.68,6.7,6.68,6.7,737.0
2025-09-22 11:14:00,6.7,6.74,6.7,6.74,1829.0
2025-09-22 11:15:00,6.72,6.72,6.7188,6.72,2586.0
2025-09-22 11:16:00,6.7,6.7,6.7,6.7,939.0
2025-09-22 11:17:00,6.75,6.75,6.73,6.73,350.0
2025-09-22 11:18:00,6.7188,6.73,6.71,6.73,3894.0
2025-09-22 11:19:00,6.74,6.75,6.74,6.75,1135.0
2025-09-22 11:20:00,6.8,6.8327,6.7412,6.8327,9303.0
2025-09-22 11:21:00,6.795,6.81,6.7526,6.7884,2287.0
2025-09-22 11:22:00,6.85,6.9,6.83,6.8369,11466.0
2025-09-22 11:23:00,6.83,6.8593,6.83,6.8593,1037.0
2025-09-22 11:25:00,6.85,6.85,6.85,6.85,305.0
2025-09-22 11:27:00,6.721,6.7321,6.6,6.6,3914.0
2025-09-22 11:30:00,6.81,6.81,6.81,6.81,100.0
2025-09-22 11:31:00,6.7742,6.8,6.74,6.74,3239.0
2025-09-22 11:32:00,6.7001,6.7151,6.7001,6.7151,626.0
2025-09-22 11:33:00,6.73,6.8099,6.73,6.8045,1952.0
2025-09-22 11:34:00,6.8,6.8,6.8,6.8,283.0
2025-09-22 11:35:00,6.7999,6.7999,6.75,6.76,526.0
2025-09-22 11:36:00,6.7501,6.7501,6.75,6.75,411.0
2025-09-22 11:38:00,6.75,6.75,6.6675,6.6675,1369.0
2025-09-22 11:40:00,6.695,6.71,6.6801,6.695,1328.0
2025-09-22 11:43:00,6.7,6.7,6.7,6.7,2508.0
2025-09-22 11:44:00,6.67,6.7,6.67,6.7,780.0
2025-09-22 11:48:00,6.675,6.675,6.66,6.66,515.0
2025-09-22 11:50:00,6.68,6.68,6.68,6.68,160.0
2025-09-22 11:51:00,6.7,6.7,6.7,6.7,145.0
2025-09-22 11:53:00,6.7,6.7,6.7,6.7,529.0
2025-09-22 11:55:00,6.67,6.67,6.67,6.67,145.0
2025-09-22 11:57:00,6.69,6.69,6.69,6.69,100.0
2025-09-22 11:58:00,6.69,6.69,6.65,6.65,460.0
2025-09-22 11:59:00,6.7255,6.7255,6.7255,6.7255,195.0
2025-09-22 12:01:00,6.6944,6.6944,6.6944,6.6944,742.0
2025-09-22 12:02:00,6.6923,6.6923,6.68,6.68,1335.0
2025-09-22 12:10:00,6.68,6.68,6.68,6.68,257.0
2025-09-22 12:11:00,6.695,6.7,6.695,6.7,360.0
2025-09-22 12:13:00,6.6994,6.6994,6.6994,6.6994,140.0
2025-09-22 12:18:00,6.7634,6.7634,6.735,6.735,228.0
2025-09-22 12:22:00,6.7692,6.7799,6.735,6.735,665.0
2025-09-22 12:29:00,6.69,6.69,6.69,6.69,100.0
2025-09-22 12:32:00,6.7649,6.7649,6.7649,6.7649,300.0
2025-09-22 12:35:00,6.73,6.74,6.73,6.739,300.0
2025-09-22 12:39:00,6.7,6.7,6.7,6.7,125.0
2025-09-22 12:40:00,6.7,6.7175,6.698,6.7175,490.0
2025-09-22 12:42:00,6.73,6.73,6.73,6.73,147.0
2025-09-22 12:47:00,6.6901,6.7164,6.6901,6.7,2366.0
2025-09-22 12:48:00,6.705,6.705,6.68,6.68,302.0
2025-09-22 13:02:00,6.65,6.65,6.65,6.65,413.0
2025-09-22 13:03:00,6.64,6.64,6.64,6.64,1004.0
2025-09-22 13:04:00,6.6401,6.6401,6.6401,6.6401,1000.0
2025-09-22 13:06:00,6.665,6.665,6.665,6.665,503.0
2025-09-22 13:10:00,6.65,6.65,6.64,6.64,285.0
2025-09-22 13:12:00,6.555,6.555,6.555,6.555,100.0
2025-09-22 13:15:00,6.5993,6.5993,6.5993,6.5993,220.0
2025-09-22 13:24:00,6.59,6.59,6.59,6.59,242.0
2025-09-22 13:26:00,6.565,6.565,6.5411,6.5411,790.0
2025-09-22 13:28:00,6.545,6.545,6.54,6.54,477.0
2025-09-22 13:31:00,6.57,6.57,6.57,6.57,412.0
2025-09-22 13:32:00,6.625,6.625,6.625,6.625,100.0
2025-09-22 13:36:00,6.58,6.5991,6.58,6.5991,4829.0
2025-09-22 13:37:00,6.61,6.61,6.6,6.6,795.0
2025-09-22 13:38:00,6.59,6.59,6.59,6.59,200.0
2025-09-22 13:39:00,6.59,6.64,6.53,6.53,6183.0
2025-09-22 13:41:00,6.5582,6.5582,6.5582,6.5582,2001.0
2025-09-22 13:42:00,6.61,6.74,6.61,6.74,9050.0
2025-09-22 13:43:00,6.72,6.7899,6.685,6.7899,2000.0
2025-09-22 13:44:00,6.7624,6.7624,6.7624,6.7624,301.0
2025-09-22 13:54:00,6.76,6.76,6.76,6.76,100.0
2025-09-22 13:56:00,6.5801,6.5801,6.5801,6.5801,10005.0
2025-09-22 13:57:00,6.63,6.63,6.63,6.63,282.0
2025-09-22 14:00:00,6.6,6.6882,6.6,6.6882,390.0
2025-09-22 14:01:00,6.6,6.6,6.6,6.6,300.0
2025-09-22 14:02:00,6.6775,6.76,6.6775,6.76,638.0
2025-09-22 14:03:00,6.6837,6.6837,6.6837,6.6837,130.0
2025-09-22 14:04:00,6.66,6.66,6.65,6.65,531.0
2025-09-22 14:06:00,6.62,6.62,6.6,6.6001,3142.0
2025-09-22 14:07:00,6.77,6.77,6.77,6.77,471.0
2025-09-22 14:08:00,6.6001,6.6001,6.6001,6.6001,453.0
2025-09-22 14:10:00,6.61,6.61,6.61,6.61,400.0
2025-09-22 14:12:00,6.67,6.67,6.6,6.6,2208.0
2025-09-22 14:13:00,6.6,6.6,6.6,6.6,480.0
2025-09-22 14:14:00,6.6,6.6,6.6,6.6,100.0
2025-09-22 14:21:00,6.58,6.59,6.51,6.51,922.0
2025-09-22 14:22:00,6.56,6.56,6.51,6.5101,663.0
2025-09-22 14:24:00,6.5004,6.5004,6.5004,6.5004,250.0
2025-09-22 14:29:00,6.51,6.5101,6.51,6.5101,820.0
2025-09-22 14:32:00,6.51,6.66,6.505,6.66,700.0
